country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Myanmar,,,4.0374934360085,1158.05005055976,,,,75.0,4.49158478,,3.063,66.506,53756787.0
Namibia,6.08128114112413,40.4584718299625,5.3987247803654,4349.79908493314,,120.341925617623,9.3919470845238,89.0,9.6219883,,19.615,64.19,2889662.0
Nauru,,53.8104761904762,2.87769784172609,12911.9086441381,,101.39037322998,5.91827971698113,98.0,18.34229279,,,61.93,11801.0
Nepal,7.6702057938028,6.70239086589236,5.6313145568451,1385.91066274851,,121.234804321367,4.13645081690396,90.0,6.52950287,30.0,10.661,70.087,29715436.0
Netherlands,10.0012078753473,96.4436215813729,5.00723455159611,59123.318556487,,104.215446472168,5.17918014526367,89.0,10.03109169,,3.526,81.6146341463415,17700982.0
New Caledonia,,15.3819770261451,3.50000000000006,33516.363085906,,,,,,,10.71,77.698,287123.0
New Zealand,7.17222476016441,24.0473873191656,3.49638686458842,49099.7090423358,,96.5572509765625,5.22557020187378,90.0,10.56814575,,3.299,81.9585365853658,5081700.0
Nicaragua,10.4674244465991,49.8957747358309,3.55029945613975,2322.89053964583,,,3.80001496174069,93.0,8.97882748,,4.969,74.463,6730654.0
Niger,4.22621791916392,26.4030742163666,11.9000000000277,609.745147574878,35.6100006103516,66.2539719118599,3.71231832079626,65.0,4.34980488,,0.403,60.398,25311973.0
Nigeria,18.8471877843274,,4.31882949523192,2899.16047470324,,,0.348516707890877,51.0,4.21020174,33.9,3.827,54.079,223150896.0
North Macedonia,14.2047173195833,72.785399542204,2.75888415332967,7606.2375253797,,97.4866561889648,,71.0,7.42164755,,14.476,74.4248780487805,1831712.0
Northern Mariana Islands,,22.2627737226277,16.6427546628408,23785.754590043,,,,,,,,78.531,46078.0
Norway,5.76412317852272,55.4998207714937,3.24622860260932,109269.520580298,,98.9667587280273,5.45586013793945,96.0,7.90873051,26.9,3.231,82.509756097561,5457127.0
Oman,2.5061425061425,63.2505019129513,7.98570728354278,23223.5829405935,97.3399963378906,89.2455714414171,4.30123996734619,97.0,3.06614041,,3.3,77.911,4730226.0
Pakistan,19.8738599646655,10.5405902721041,4.7781068690358,1538.3228133171,,78.9400248844352,1.97300945756988,82.0,2.90354776,,5.291,67.417,243700667.0
Palau,12.3526638378124,15.6686150460648,1.51267904038146,13729.7602761496,,92.0141342756184,3.57620133415525,96.0,14.87842083,,,68.922,17759.0
Panama,2.85965128834711,48.0265978333415,11.0385475261766,17378.6070017557,,101.563230633345,3.37781000137329,87.0,9.04578876,,8.086,79.324,4400773.0
Papua New Guinea,5.25323922215241,,5.70758404238197,3102.28968594061,87.144148905762,111.086149294969,0.643376920751815,41.0,2.61463141,,2.689,65.274,10203169.0
Paraguay,9.76556667164402,34.3693845850532,0.176038366149214,6205.62595379319,,91.0286415669387,3.39619994163513,54.0,7.73537827,44.6,6.755,72.319,6760464.0
Peru,8.33370630096231,28.8318607701975,2.8090335533015,7350.63034300417,,114.349319458008,3.83315992355347,74.0,6.0974617,40.3,4.291,76.834,33475438.0
Philippines,5.82115811213955,28.3874015457939,7.58098212785563,3548.06930572116,,90.6131438325611,3.57960089528426,76.0,5.15588379,,2.598,69.472,113964338.0
Poland,14.4294507575758,62.3525162455456,5.25545697386036,18891.2121169279,,100.594268798828,4.31372976303101,91.0,6.46619797,28.9,2.811,77.1560975609756,36821749.0
Portugal,7.83269124233323,49.4816822004506,6.98584137580278,24620.5197587181,,108.103523254395,4.55159997940063,98.0,10.5492239,36.3,6.138,81.6317073170732,10434332.0
Puerto Rico (US),,52.4462925923876,2.95709565499587,35353.6821570014,,,3.86129930773508,,,,6.0,79.427,3220137.0
Qatar,4.99527553740761,68.5984088244276,4.18497018544697,88701.4689763536,,94.1971279001544,,99.0,2.18613315,,0.13,81.857,2657333.0
Romania,13.7954887432521,43.5131053942163,4.18771305104109,15503.551804598,,84.8812789916992,3.2788200378418,83.0,5.79823256,32.3,5.614,75.1536585365854,19048502.0
Russian Federation,13.7436797398232,27.7203033526803,-1.43588213859842,15619.6142578125,,100.122558846483,4.05402755323777,97.0,6.8788662,33.9,3.867,72.5456097560976,144236933.0
Rwanda,17.6892095588153,22.4780615146911,8.16120720872912,975.469323735369,78.7600021362305,148.752482099863,4.74623012542725,99.0,5.92842579,,15.084,67.528,13651030.0
Samoa,10.9618822286844,11.4857734041295,2.26705055249026,4132.44717734444,,103.30974754162,6.15978780645853,82.0,6.93412352,,5.048,71.55,215261.0
San Marino,5.32545321311365,197.412351319317,7.89844145767604,54190.8417700372,99.9100036621094,93.9375,2.89753007888794,91.0,7.22336292,,,85.708,33755.0
Sao Tome and Principe,18.0056351122841,,0.168698492216564,2389.73729784737,,,5.19392101712613,82.0,5.7744813,,8.964,69.237,226305.0
Saudi Arabia,2.47407371925372,35.9850098955522,12.0005874752929,38510.2276211037,,102.13902539092,,98.0,5.31400585,,5.589,77.31,32175224.0
Senegal,9.69681899081073,26.6991642240508,3.85043193735768,1574.0281059306,,84.2733198273584,5.98753976821899,87.0,4.0444808,,2.837,67.788,17651103.0
Serbia,11.9815117344703,60.7381674989747,2.70347705543654,10024.8191112596,99.3399963378906,96.6279678344727,3.08255004882812,81.0,8.58397198,32.8,8.439,75.2365853658537,6664449.0
Seychelles,2.6260363285129,90.1216033127767,12.7104688902836,16836.6721895387,,97.7654776547765,3.65858904774836,98.0,4.39909697,,,73.7024390243903,119878.0
Sierra Leone,27.2082883814653,16.7804780182578,5.3135546141915,860.371067916096,,163.173554667055,4.91130018234253,90.0,4.80377436,,3.137,61.275,8276807.0
Singapore,6.13095418919732,186.114290787201,4.10800021897151,90299.0694637269,,99.5780376637324,2.48891997337341,96.0,4.33121586,,3.591,82.8951219512195,5637022.0
Sint Maarten (Dutch part),,,13.9,37793.1284399157,,,4.27420508508285,,,,,76.18,42139.0
Slovak Republic,12.7741463637611,99.0674933921507,0.544591632137454,21317.7943982363,,100.326721191406,4.65508985519409,95.0,7.70245218,24.1,6.143,76.9658536585366,5431752.0
Slovenia,8.83369886749452,94.3162594247263,2.66850555542486,28360.3041467268,,100.639137268066,5.28065013885498,96.0,9.62683296,24.3,4.011,81.2829268292683,2112076.0
Solomon Islands,5.51812928576938,28.1319766413802,-2.58448361755723,1877.78104490956,,,8.48737829731105,90.0,4.82418394,,1.475,70.409,781066.0
"Somalia, Fed. Rep.",,17.6810741938645,2.71821202053759,573.141165798229,54.1199989318848,,7.21674775437e-06,69.0,2.8469162,,19.112,53.931,17801897.0
South Africa,7.03987272546482,33.5394403164272,2.05813661692193,6534.24867783397,,102.402386766287,6.15599012374878,86.0,8.74512291,,33.268,65.454,62378410.0
South Sudan,-6.68732094212668,,,,,,,72.0,6.57254314,,12.475,57.203,11021177.0
Spain,8.39057634118627,39.6716824276836,6.37031712129601,30319.4987196616,,102.445991516113,4.58553981781006,97.0,9.6799593,33.6,13.033,83.1341463414634,47786102.0
Sri Lanka,49.7211021114327,21.5595624620967,-7.34919301306745,3342.63650253855,92.4899978637695,92.9846466705678,1.20397218661186,99.0,3.98300457,,4.528,77.3,22181000.0
St. Kitts and Nevis,2.66817533111249,,10.4804941546807,21011.5744209816,,127.689992475545,3.5579615526858,95.0,5.52634287,,,70.313,46709.0
St. Lucia,6.37814695133351,,20.3884431828414,13103.8243147472,,102.964202074272,4.64235019683838,81.0,4.74750614,,15.934,72.67,178781.0
